 T_sample F_sample  tau(ns)  fd(MHz) dead(ns)      a_01      a_02      a_03      a_04     a_err
  100.000   10.000    0.000    5.000   10.000  0.382320  0.146684  0.056494  0.021807  0.000079
  100.000   10.000    0.000    6.000   10.000  0.311423  0.097828  0.031080  0.010031  0.000079
  100.000   10.000    0.000    7.000   10.000  0.252694  0.065026  0.017213  0.004816  0.000079
  100.000   10.000    0.000    8.000   10.000  0.204612  0.043287  0.009992  0.002699  0.000079
  100.000   10.000    0.000    9.000   10.000  0.165637  0.029242  0.005962  0.001618  0.000079
  100.000   10.000    0.000   10.000   10.000  0.134130  0.020042  0.003900  0.000984  0.000079
  100.000   10.000    0.000   11.000   10.000  0.108993  0.014373  0.002794  0.000817  0.000079
  100.000   10.000    0.000   12.000   10.000  0.088949  0.010699  0.002075  0.000423  0.000079
  100.000   10.000    0.000   13.000   10.000  0.073169  0.008302  0.001612  0.000494  0.000079
  100.000   10.000    0.000   14.000   10.000  0.060913  0.006633  0.001341  0.000439  0.000079
  100.000   10.000    0.000   15.000   10.000  0.051286  0.005486  0.001092  0.000261  0.000079
  100.000   10.000    0.000   16.000   10.000  0.043707  0.004576  0.000872  0.000162  0.000079
  100.000   10.000    0.000   17.000   10.000  0.037743  0.003880  0.000768  0.000182  0.000079
  100.000   10.000    0.000   18.000   10.000  0.032951  0.003300  0.000418  0.000046  0.000079
  100.000   10.000    0.000   19.000   10.000  0.028964  0.002901  0.000460  0.000129  0.000079
  100.000   10.000    0.000   20.000   10.000  0.025688  0.002376  0.000185  0.000013  0.000079
  100.000   10.000    0.000   21.000   10.000  0.022973  0.002076  0.000266  0.000124  0.000079
  100.000   10.000    0.000   22.000   10.000  0.020684  0.001454  0.000184  0.000143  0.000079
  100.000   10.000    0.000   23.000   10.000  0.018331  0.001325  0.000048 -0.000054  0.000079
  100.000   10.000    0.000   24.000   10.000  0.016500  0.000918  0.000027 -0.000083  0.000079
  100.000   10.000    0.000   25.000   10.000  0.014665  0.000776  0.000006 -0.000037  0.000079
  100.000   10.000    0.000   26.000   10.000  0.012887  0.000586  0.000011  0.000027  0.000042
  100.000   10.000    0.000   27.000   10.000  0.011359  0.000413 -0.000004  0.000036  0.000042
  100.000   10.000    0.000   28.000   10.000  0.009932  0.000280 -0.000088  0.000072  0.000042
  100.000   10.000    0.000   29.000   10.000  0.008537  0.000201 -0.000002 -0.000029  0.000042
  100.000   10.000    0.000   30.000   10.000  0.007463  0.000215  0.000001  0.000069  0.000042
  100.000   10.000    0.000   31.000   10.000  0.006387  0.000062  0.000049 -0.000011  0.000042
  100.000   10.000    0.000   32.000   10.000  0.005528  0.000092  0.000018 -0.000014  0.000042
  100.000   10.000    0.000   33.000   10.000  0.004647  0.000055 -0.000041  0.000014  0.000042
  100.000   10.000    0.000   34.000   10.000  0.003983  0.000028 -0.000027  0.000023  0.000042
  100.000   10.000    0.000   35.000   10.000  0.003378  0.000015  0.000050  0.000001  0.000042
  100.000   10.000    0.000   36.000   10.000  0.002870  0.000052 -0.000052 -0.000043  0.000042
  100.000   10.000    0.000   37.000   10.000  0.002367 -0.000044 -0.000099 -0.000031  0.000042
  100.000   10.000    0.000   38.000   10.000  0.002039  0.000010 -0.000006  0.000071  0.000042
  100.000   10.000    0.000   39.000   10.000  0.001543 -0.000013  0.000038 -0.000011  0.000042
  100.000   10.000    0.000   40.000   10.000  0.001121 -0.000022 -0.000020  0.000037  0.000042
  100.000   10.000    0.000   41.000   10.000  0.000732  0.000088 -0.000008  0.000025  0.000042
  100.000   10.000    0.000   42.000   10.000  0.000406  0.000044 -0.000005  0.000039  0.000042
  100.000   10.000    0.000   43.000   10.000  0.000028  0.000008 -0.000024 -0.000037  0.000042
  100.000   10.000    0.000   44.000   10.000 -0.000235 -0.000025 -0.000009  0.000049  0.000042
  100.000   10.000    0.000   45.000   10.000 -0.000422  0.000050  0.000107  0.000061  0.000042
  100.000   10.000    0.000   46.000   10.000 -0.000525  0.000062  0.000088 -0.000036  0.000042
  100.000   10.000    0.000   47.000   10.000 -0.000453  0.000037  0.000049 -0.000016  0.000042
  100.000   10.000    0.000   48.000   10.000 -0.000167  0.000035  0.000021 -0.000086  0.000042
  100.000   10.000    0.000   49.000   10.000  0.000311 -0.000002 -0.000033  0.000007  0.000042
  100.000   10.000    0.000   50.000   10.000  0.000845 -0.000040 -0.000013  0.000021  0.000042
  100.000   10.000    0.000   51.000   10.000  0.001670  0.000024  0.000064  0.000004  0.000042
  100.000   10.000    0.000   52.000   10.000  0.002582  0.000038  0.000025  0.000054  0.000042
  100.000   10.000    0.000   53.000   10.000  0.003489 -0.000014 -0.000032 -0.000004  0.000042
  100.000   10.000    0.000   54.000   10.000  0.004185  0.000073 -0.000027 -0.000039  0.000042
  100.000   10.000    0.000   55.000   10.000  0.004906  0.000025 -0.000054  0.000021  0.000042
  100.000   10.000    0.000   56.000   10.000  0.005258  0.000027 -0.000030 -0.000062  0.000042
  100.000   10.000    0.000   57.000   10.000  0.005098 -0.000017 -0.000055 -0.000005  0.000042
  100.000   10.000    0.000   58.000   10.000  0.004359 -0.000133 -0.000040  0.000078  0.000042
  100.000   10.000    0.000   59.000   10.000  0.002711 -0.000105 -0.000018  0.000003  0.000042
  100.000   10.000    0.000   60.000   10.000  0.000187 -0.000146 -0.000096  0.000004  0.000042
  100.000   10.000    0.000   61.000   10.000 -0.003184 -0.000112 -0.000005 -0.000039  0.000042
  100.000   10.000    0.000   62.000   10.000 -0.007572 -0.000141  0.000040 -0.000006  0.000042
  100.000   10.000    0.000   63.000   10.000 -0.012522 -0.000040  0.000018  0.000002  0.000042
  100.000   10.000    0.000   64.000   10.000 -0.018087  0.000233 -0.000054 -0.000070  0.000042
  100.000   10.000    0.000   65.000   10.000 -0.023722  0.000580 -0.000074 -0.000049  0.000042
  100.000   10.000    0.000   66.000   10.000 -0.028966  0.000954 -0.000024  0.000036  0.000079
  100.000   10.000    0.000   67.000   10.000 -0.032777  0.001224  0.000007  0.000126  0.000079
  100.000   10.000    0.000   68.000   10.000 -0.034848  0.001119 -0.000057 -0.000057  0.000079
  100.000   10.000    0.000   69.000   10.000 -0.034001  0.000140  0.000016 -0.000141  0.000079
  100.000   10.000    0.000   70.000   10.000 -0.029489 -0.001265  0.000268 -0.000100  0.000079
  100.000   10.000    0.000   71.000   10.000 -0.020727 -0.003254  0.000195 -0.000020  0.000079
  100.000   10.000    0.000   72.000   10.000 -0.006690 -0.005446 -0.000014  0.000115  0.000079
  100.000   10.000    0.000   73.000   10.000  0.012347 -0.006913 -0.000341  0.000121  0.000079
  100.000   10.000    0.000   74.000   10.000  0.036068 -0.006333 -0.001098 -0.000085  0.000079
  100.000   10.000    0.000   75.000   10.000  0.064011 -0.002586 -0.001454 -0.000002  0.000079
  100.000   10.000    0.000   76.000   10.000  0.093913  0.005151 -0.000718 -0.000164  0.000079
  100.000   10.000    0.000   77.000   10.000  0.123729  0.015837  0.001533  0.000144  0.000079
  100.000   10.000    0.000   78.000   10.000  0.150022  0.027055  0.004815  0.000891  0.000079
  100.000   10.000    0.000   79.000   10.000  0.168839  0.033685  0.006522  0.001239  0.000079
  100.000   10.000    0.000   80.000   10.000  0.176214  0.029855  0.002980 -0.000347  0.000079
